Bus Name,Bus Type,Departure Time,Reaching Time,Duration,Price,Seats Available,Rating,Route Name,Route Link
KSRTC (Kerala) - 3218,Swift Deluxe Non AC Air Bus (2+2),07:05,10:30,03h 25m,216,20 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2710,Super Fast Non AC Seater (2+3),07:20,11:05,03h 45m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1992,Super Fast Non AC Seater (2+3),07:35,10:50,03h 15m,181,43 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3514,Super Fast Non AC Seater (2+3),07:50,11:25,03h 35m,181,50 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3597,Low Floor AC Seater 2+2,08:00,11:05,03h 05m,253,24 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 851,Super Fast Non AC Seater (2+3),08:15,11:50,03h 35m,181,48 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2006,Super Fast Non AC Seater (2+3),08:15,12:05,03h 50m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 761,Super Fast Non AC Seater (2+3),08:45,12:20,03h 35m,181,47 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 764,Super Fast Non AC Seater (2+3),09:00,12:30,03h 30m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3014,Super Fast Non AC Seater (2+3),09:10,13:15,04h 05m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2571,Super Fast Non AC Seater (2+3),09:30,13:30,04h 00m,174,43 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 721,Super Fast Non AC Seater (2+3),09:35,13:05,03h 30m,181,45 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 813,Super Fast Non AC Seater (2+3),09:40,13:05,03h 25m,181,45 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2567,Super Fast Non AC Seater (2+3),10:05,14:05,04h 00m,174,42 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 848,Super Fast Non AC Seater (2+3),10:10,13:50,03h 40m,181,52 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 353,Super Fast Non AC Seater (2+3),10:15,14:00,03h 45m,181,45 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 822,Super Fast Non AC Seater (2+3),10:45,14:20,03h 35m,181,50 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3669,Super Fast Non AC Seater (2+3),10:50,14:30,03h 40m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 773,Super Fast Non AC Seater (2+3),10:55,14:10,03h 15m,181,45 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 324,Super Fast Non AC Seater (2+3),11:35,15:05,03h 30m,181,46 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1118,Super Fast Non AC Seater (2+3),11:50,15:20,03h 30m,181,43 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1927,Low Floor AC Seater 2+2,12:30,15:50,03h 20m,253,26 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1023,Super Fast Non AC Seater (2+3),12:40,15:55,03h 15m,174,42 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 991,Super Fast Non AC Seater (2+3),12:50,17:05,04h 15m,174,42 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 820,Super Fast Non AC Seater (2+3),12:55,16:30,03h 35m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2496,Low Floor AC Seater 2+2,13:30,16:35,03h 05m,253,27 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),13:55,17:55,04h 00m,181,48 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2896,Low Floor AC Seater 2+2,14:00,17:20,03h 20m,253,28 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 766,Super Fast Non AC Seater (2+3),14:35,18:20,03h 45m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 993,Super Fast Non AC Seater (2+3),14:50,19:00,04h 10m,174,43 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,18:30,03h 30m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,19:00,03h 35m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,19:35,03h 55m,181,50 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 758,Super Fast Non AC Seater (2+3),15:45,19:20,03h 35m,181,48 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2898,Low Floor AC Seater 2+2,16:00,19:20,03h 20m,253,28 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 689,Super Fast Non AC Seater (2+3),16:15,19:50,03h 35m,181,50 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 726,Super Fast Non AC Seater (2+3),17:00,20:20,03h 20m,181,50 Seats available,3.9,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2716,Super Fast Non AC Seater (2+3),17:15,20:45,03h 30m,181,50 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,20:45,03h 20m,181,45 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2390,Low Floor AC Seater 2+2,17:30,21:00,03h 30m,253,23 Seats available,4.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,21:20,03h 20m,253,24 Seats available,2.3,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,20:50,02h 50m,216,35 Seats available,1.7,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,21:35,03h 05m,253,27 Seats available,3.3,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),19:00,21:35,02h 35m,216,31 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2453,Low Floor AC Seater 2+2,19:00,22:05,03h 05m,253,29 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 814,Super Fast Non AC Seater (2+3),19:15,22:45,03h 30m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2984,Super Fast Non AC Seater (2+3),19:20,23:00,03h 40m,181,47 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3398,Super Fast Non AC Seater (2+3),19:40,23:10,03h 30m,174,43 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1956,Super Fast Non AC Seater (2+3),20:00,23:30,03h 30m,181,41 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,23:00,02h 35m,216,32 Seats available,2.5,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 424,Super Fast Non AC Seater (2+3),20:30,00:15,03h 45m,181,42 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,23:35,03h 05m,253,27 Seats available,3.7,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,00:30,03h 30m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3294,Super Fast Non AC Seater (2+3),21:00,01:00,04h 00m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 815,Super Fast Non AC Seater (2+3),21:10,00:55,03h 45m,181,46 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1378,AC MULTI AXLE,21:25,00:45,03h 20m,360,36 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,00:05,02h 40m,216,12 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,00:55,03h 30m,216,23 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2454,Low Floor AC Seater 2+2,21:40,00:45,03h 05m,253,29 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 344,Super Fast Non AC Seater (2+3),21:45,01:05,03h 20m,181,48 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 44,Swift Deluxe Non AC Air Bus (2+2),21:50,00:40,02h 50m,216,29 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1212,AC MULTI AXLE,22:00,00:30,02h 30m,360,28 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1100,AC MULTI AXLE,22:05,00:50,02h 45m,340,33 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 560,Super Express Non AC Seater Air Bus (2+2),22:10,01:15,03h 05m,216,30 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 409,Super Express Non AC Seater Air Bus (2+2),22:15,00:45,02h 30m,216,7 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,22:25,01:10,02h 45m,237,39 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 666,Super Fast Non AC Seater (2+3),22:25,01:55,03h 30m,181,48 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2724,Super Fast Non AC Seater (2+3),22:30,02:00,03h 30m,174,40 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 582,Super Express Non AC Seater Air Bus (2+2),22:40,01:45,03h 05m,201,33 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 781,Super Fast Non AC Seater (2+3),22:45,02:10,03h 25m,181,34 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 586,Super Express Non AC Seater Air Bus (2+2),22:50,02:05,03h 15m,201,18 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 128,Super Deluxe Non AC Seater Air Bus (2+2),22:55,01:35,02h 40m,216,38 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 3819,Super Express Non AC Seater Air Bus (2+2),23:00,02:25,03h 25m,216,39 Seats available,0.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1011,Super Fast Non AC Seater (2+3),23:00,02:25,03h 25m,174,26 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 798,Super Fast Non AC Seater (2+3),23:00,02:10,03h 10m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,02:50,03h 45m,181,49 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 673,Super Fast Non AC Seater (2+3),23:10,02:25,03h 15m,181,46 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 314,Super Fast Non AC Seater (2+3),23:15,02:45,03h 30m,181,46 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2784,Super Express Non AC Seater Air Bus (2+2),23:20,02:20,03h 00m,201,25 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1843,Low Floor AC Seater 2+2,23:30,02:35,03h 05m,253,27 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 370,AC MULTI AXLE,23:30,02:20,02h 50m,360,17 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 1963,Super Fast Non AC Seater (2+3),23:45,03:05,03h 20m,181,47 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 345,Super Fast Non AC Seater (2+3),23:55,03:35,03h 40m,181,48 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,03:30,03h 31m,900,32 Seats available,4.8,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Cochin Bus,A/C Sleeper (2+1),23:59,03:30,03h 31m,900,11 Seats available,4.5,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,03:30,03h 35m,649,44 Seats available,4.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
UFO Bus,A/C Sleeper (2+1),23:55,03:30,03h 35m,800,25 Seats available,4.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Adrin Travels,A/C Seater/Sleeper (2+1),01:20,04:20,03h 00m,1000,15 Seats available,4.1,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,A/C Sleeper (2+1),01:30,03:50,02h 20m,712,20 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kalpaka Travels 1,A/C Sleeper (2+1),23:00,00:30,01h 30m,900,30 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kalpaka Travels 1,A/C Sleeper (2+1),23:59,03:45,03h 46m,800,28 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,A/C Semi Sleeper (2+2),00:45,04:05,03h 20m,522,13 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,A/C Semi Sleeper (2+2),00:15,04:00,03h 45m,569,19 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,Volvo A/C Semi Sleeper (2+2),23:30,01:55,02h 25m,854,41 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,A/C Sleeper (2+1),23:40,02:50,03h 10m,854,30 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,03:40,03h 41m,600,18 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,A/C Sleeper (2+1),22:20,01:10,02h 50m,949,30 Seats available,4.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
BLM Transports,A/C Sleeper (2+1),22:00,01:00,03h 00m,855,24 Seats available,3.8,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Ubc travels,A/C Seater/Sleeper (2+1),01:45,03:45,02h 00m,900,14 Seats available,3.7,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Arya Travels,A/C Sleeper (2+1),23:59,03:15,03h 16m,745,23 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,01:30,02h 00m,1000,22 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),01:00,03:30,02h 30m,1000,27 Seats available,3.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),02:00,05:01,03h 01m,1000,27 Seats available,3.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:45,01:10,02h 25m,850,13 Seats available,3.0,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Cochin Bus,Bharat Benz A/C Semi Sleeper (2+2),23:59,03:30,03h 31m,650,32 Seats available,4.5,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,03:30,03h 31m,650,48 Seats available,4.5,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Cochin Bus,Bharat Benz A/C Sleeper (2+1),23:58,03:10,03h 12m,800,23 Seats available,4.5,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Greenline kerala,A/C Seater Push Back (2+2),01:30,03:30,02h 00m,500,26 Seats available,3.4,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Sona Travels,Non A/C Seater / Sleeper (2+1),02:00,05:30,03h 30m,560,31 Seats available,3.2,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,00:45,03h 00m,650,36 Seats available,2.6,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
EMERALD TRAVELS,A/C Sleeper (2+1),22:10,00:30,02h 20m,1000,24 Seats available,2.9,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,23:44,01h 59m,700,16 Seats available,2.6,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
KSRTC (Kerala) - 2386,Low Floor AC Seater 2+2,00:00,10:09,10h 09m,742,13 Seats available,4.8,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 3322,Low Floor AC Seater 2+2,02:00,11:08,09h 08m,742,22 Seats available,2.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 3015,Super Fast Non AC Seater (2+3),05:30,17:25,11h 55m,502,48 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 277,Super Fast Non AC Seater (2+3),07:30,18:55,11h 25m,516,49 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 722,Super Fast Non AC Seater (2+3),07:45,19:25,11h 40m,515,48 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 780,Super Fast Non AC Seater (2+3),08:05,19:10,11h 05m,515,50 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1119,Super Fast Non AC Seater (2+3),08:15,20:00,11h 45m,502,47 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1891,Low Floor AC Seater 2+2,09:00,19:45,10h 45m,723,17 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 3573,Low Floor AC Seater 2+2,10:01,20:27,10h 26m,742,19 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1877,Low Floor AC Seater 2+2,13:00,23:20,10h 20m,723,29 Seats available,2.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1211,AC MULTI AXLE,14:15,00:05,09h 50m,986,20 Seats available,2.4,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 486,Super Express Non AC Seater Air Bus (2+2),15:45,00:30,08h 45m,586,32 Seats available,2.8,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1377,AC MULTI AXLE,16:01,02:20,10h 19m,955,45 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 667,Super Fast Non AC Seater (2+3),16:15,02:30,10h 15m,477,48 Seats available,2.2,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 368,AC MULTI AXLE,16:25,02:50,10h 25m,986,46 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 862,Super Fast Non AC Seater (2+3),16:30,04:50,12h 20m,502,49 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 3205,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,16:30,02:20,09h 50m,565,21 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 2985,Super Fast Non AC Seater (2+3),16:45,03:35,10h 50m,502,49 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 431,Super Fast Non AC Seater (2+3),17:15,04:45,11h 30m,515,43 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1673,Super Fast Non AC Seater (2+3),17:50,05:20,11h 30m,515,36 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 1845,Low Floor AC Seater 2+2,18:00,04:10,10h 10m,742,29 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 377,AC MULTI AXLE,18:10,02:49,08h 39m,904,30 Seats available,4.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
KSRTC (Kerala) - 47,Swift Deluxe Non AC Air Bus (2+2),18:30,03:52,09h 22m,586,31 Seats available,3.1,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
